Epoch,Loss
1,3349.0241339133545
2,26855.912514864805
3,76061.62367787639
4,152171.22421984712
5,253784.2623412541
6,378971.7117811089
7,536679.8331567546
8,714705.4950872611
9,918812.1596680465
10,1151677.7831047433
11,1420268.291815255
