Epoch,Loss
1,0.9673391430330192
2,0.9037367716742737
3,0.8831598670398707
4,0.882253269791243
5,0.8816454961298861
6,0.8811846046361702
7,0.8808167972780513
8,0.8805173837369348
9,0.8802714881688204
10,0.880069425025365
11,0.8799034307127355
12,0.8797663191682005
13,0.8796537285047668
14,0.8795601200879518
15,0.8794826485110822
16,0.8794194119257801
17,0.8793670367464562
18,0.8793237820725212
19,0.8792882721762295
20,0.879258530468326
21,0.879234121470422
22,0.8792140341501772
23,0.8791977677387558
24,0.8791840620421834
25,0.8791724315723766
26,0.8791633824608742
27,0.8791553314368805
28,0.8791491607451027
29,0.8791437848172388
30,0.8791395521389624
31,0.8791360564234668
32,0.8791328814126206
33,0.8791301804362006
34,0.8791285246011881
35,0.8791264855129645
36,0.8791254083497929
37,0.8791241013411981
38,0.8791233443214818
39,0.8791228798393423
40,0.8791218188999566
41,0.8791213890783494
42,0.8791210984932485
43,0.879120590194166
44,0.8791203681920262
45,0.8791200011221214
46,0.8791198124314858
47,0.8791194812225865
48,0.8791195440773408
49,0.8791195009854785
50,0.8791194522587256
51,0.8791191736606996
52,0.8791190098608267
53,0.8791192256031589
54,0.879118806915744
55,0.8791190199067952
56,0.8791188942384971
57,0.8791187966685647
58,0.8791190070409216
59,0.8791190150556273
60,0.8791188617935416
61,0.8791189729838789
62,0.8791190603933233
63,0.8791188516192764
64,0.8791188861976365
65,0.8791189120740678
66,0.8791190925049558
67,0.8791189481297421
68,0.8791191336153773
69,0.8791189584000391
70,0.8791187390784243
71,0.8791187752369098
72,0.8791188301445754
73,0.8791189504918081
74,0.879118779024973
75,0.8791185906211714
76,0.8791188299388464
77,0.8791189195271423
78,0.879118670638122
79,0.8791188201523354
80,0.8791188376101906
81,0.8791189580021787
82,0.8791192567082572
83,0.8791186306744113
84,0.8791185682939144
85,0.879118811886762
86,0.8791188892992863
87,0.8791188013118633
88,0.8791189587560595
89,0.8791187055239722
90,0.8791189927420372
91,0.8791188269103145
92,0.8791185399961097
93,0.8791188960033461
94,0.8791188976152291
95,0.8791188549355863
96,0.8791189617897727
