epoch,loss,val_accuracy,val_precision,val_recall,val_f1
1,0.8926963961560334,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
2,0.8800496374678874,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
3,0.8797431634936768,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
4,0.879702385904993,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
5,0.8796962027894113,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
6,0.8796976573248627,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
7,0.8796985340344113,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
8,0.8796987723200697,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
9,0.8796964226782262,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
10,0.8796957115098558,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
11,0.8796987797111003,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
12,0.8796988713445731,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
13,0.8796973759163953,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
14,0.8796988719109139,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
15,0.8796978845000263,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
16,0.8796983616730575,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
17,0.8796967013057752,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
18,0.8796984700021999,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
19,0.8796971031464315,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
20,0.8796998333034194,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
21,0.8796976555125801,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
22,0.8796982020845907,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
23,0.8796985175625128,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
24,0.8796975790556486,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
25,0.879697799712172,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
26,0.8796982622370415,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
27,0.8796988095406283,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
28,0.8796986640975573,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
29,0.879698180456898,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
30,0.8796987042911607,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
31,0.8796963942650173,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
32,0.8796978309772523,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
33,0.8796979027971648,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
34,0.879697750449294,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
35,0.8796968804396216,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
36,0.8796979415961561,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
37,0.8796969909713792,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
38,0.8796993642735635,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
39,0.8796976368931488,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
40,0.8796994574740202,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
41,0.8796979691480528,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
42,0.8796979517377539,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
43,0.8796982530262918,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
44,0.8796970782830609,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
45,0.8796987846352606,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
46,0.8796990226080827,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
47,0.8796981082527586,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
48,0.8796974229256024,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
49,0.8796979687513369,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
50,0.8796977912213654,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
51,0.8796978868281009,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
52,0.8796985705192262,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
53,0.8796982230595138,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
54,0.8796981671320289,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
55,0.8796992442559379,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
56,0.8796991795120439,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
57,0.8796978385575058,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
58,0.8796987829055759,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
59,0.8796978147626776,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
60,0.8796987322290485,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
61,0.8796968302570011,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
62,0.8796966936127073,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
63,0.8796982776309761,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
64,0.879699065475802,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
65,0.8796977258342562,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
66,0.8796977249453465,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
67,0.8796986399276202,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
68,0.8796973742072882,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
69,0.8796997611732096,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
70,0.8796987438707836,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
71,0.8796974187760545,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
72,0.8796981918677504,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
73,0.879699054480737,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
74,0.8796977389054723,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
75,0.8796972324439393,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
76,0.879698406292799,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
77,0.8796972202293982,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
78,0.8796982388755727,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
79,0.8796990098004713,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
80,0.8796986093855579,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
81,0.8796985681333204,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
82,0.8796987289915993,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
83,0.8796983178075845,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
84,0.8796972519766134,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
85,0.8796977975160793,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
86,0.8796996585301373,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
87,0.8796973032499928,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
88,0.8796982105822795,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
89,0.8796981070736131,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
90,0.8796979906615966,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
91,0.8796979398829067,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
92,0.8796986325617473,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
93,0.8796994647529746,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
94,0.8796980424294312,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
95,0.8796975992467538,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
96,0.8796983492711509,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
97,0.8796975736210128,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
98,0.8796985540894989,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
99,0.879698082498177,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
100,0.8796986751219439,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
101,0.8796992509587779,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
102,0.8796970192867802,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
103,0.8796979141439663,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
104,0.8796997159178055,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
105,0.879698497183603,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
106,0.8796970662560792,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
107,0.8796980736703692,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
108,0.8796983630676103,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
109,0.8796981521074503,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
110,0.8796979832666844,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
111,0.879697517380763,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
112,0.8796973338123873,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
113,0.8796984148305065,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
114,0.8796993603353014,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
115,0.8796976049632226,0.5572168474543144,0.5572168474543144,1.0,0.7156573580169439
