,precision,recall,f1-score,support
0,0.0,0.0,0.0,4532.0
1,0.5571623998436583,1.0,0.7156124497991967,5702.0
accuracy,0.5571623998436583,0.5571623998436583,0.5571623998436583,0.5571623998436583
macro avg,0.2785811999218291,0.5,0.3578062248995983,10234.0
weighted avg,0.3104299397995446,0.5571623998436583,0.39871234988812,10234.0
extra,,,,
